Al Pacino 
American Zoetrope
Andy Garcia
Anjelica Huston
Anne Goursaud
Antony Hopkins
Barry Malkin
Bill Cosby
Carmen Maura
Carmine Coppola
Claire Danes
Coppola Company
Danny Devito
David Shire 
Dean Tavoularis
Dennis Hopper
Diane Keaton 
Diane Lane 
Elias Koteas
Elmer Bernstein
Francis Ford Coppola 
Gary Nadeau
Gary Oldman
Gene Hackman
Glen Scantlebury
Gregory Hines
Harrison Ford 
Hollywood Pictures
Howard Cummings
James Caan
James DeMonaco
James Earl Jones
James Hart
Jennifer Lopez
John Barry 
John Cazale
Jon Voight
Kathleen Rowell
Keanu Reaves
Lisa Fruchtman
Maribel Verdù
Mario Puzo
Marlon Brando
Matt Damon
Matt Dilion
Melissa Kent
Micheal Herr
Micheal Kamen
Monica Bellucci
Nicolas Cage
Nino Rota
Osvaldo Golijov
Paramount Pictures
Ralph Macchio 
Richard Castellano
Richard Chew
Richard Gere
Richard Sylbert
Robert De Niro
Robert Duvall
Robin Williams
Ronald Bass
Sebastian Orgambide
Sofia Castiglione
Talia Shire 
Tom Cruise 
Tom Sanders
United Artists
Vincent Gallo
Walter Murch 
William Kennedy
William Reynolds
Wojciech Kiliar
Zoetrope Production
Zoetrope Studios
